example,n_pattern,n_target,k,density,max_multiplicity,approx_time,exact_time,approx_cost,exact_cost,accuracy_ratio,exact_timed_out
test_009_n8_m8_d50_mult2.txt,8,8,5,0.3,2,0.002382499980740249,,195,,,True
test_012_n7_m8_d20_mult2.txt,7,8,1,0.3,2,0.0028086249949410558,,12,,,True
test_012_n7_m8_d20_mult2.txt,7,8,2,0.3,2,0.002635790966451168,,24,,,True
test_012_n7_m8_d20_mult2.txt,7,8,3,0.3,2,0.0023524590069428086,,36,,,True
test_012_n7_m8_d20_mult2.txt,7,8,4,0.3,2,0.0027207089588046074,,48,,,True
test_012_n7_m8_d20_mult2.txt,7,8,5,0.3,2,0.0026892080204561353,,60,,,True
test_020_n6_m8_d20_mult2.txt,6,8,1,0.3,2,0.0027405000291764736,,17,,,True
test_020_n6_m8_d20_mult2.txt,6,8,2,0.3,2,0.002404458005912602,,34,,,True
test_020_n6_m8_d20_mult2.txt,6,8,3,0.3,2,0.002923708059825003,,51,,,True
test_020_n6_m8_d20_mult2.txt,6,8,4,0.3,2,0.0025652919430285692,,68,,,True
test_020_n6_m8_d20_mult2.txt,6,8,5,0.3,2,0.0024857919197529554,,85,,,True
test_026_n8_m8_d40_mult1.txt,8,8,1,0.3,2,0.002945000072941184,,21,,,True
test_026_n8_m8_d40_mult1.txt,8,8,2,0.3,2,0.002600334002636373,,42,,,True
test_026_n8_m8_d40_mult1.txt,8,8,3,0.3,2,0.002337000099942088,,63,,,True
test_026_n8_m8_d40_mult1.txt,8,8,4,0.3,2,0.0024304999969899654,,84,,,True
test_026_n8_m8_d40_mult1.txt,8,8,5,0.3,2,0.0025758330011740327,,105,,,True
test_011_n9_m9_d40_mult3.txt,9,9,1,0.3,2,0.002748625003732741,,65,,,True
test_011_n9_m9_d40_mult3.txt,9,9,2,0.3,2,0.0023640840081498027,,130,,,True
test_011_n9_m9_d40_mult3.txt,9,9,3,0.3,2,0.002604666049592197,,195,,,True
test_011_n9_m9_d40_mult3.txt,9,9,4,0.3,2,0.00320004194509238,,260,,,True
test_011_n9_m9_d40_mult3.txt,9,9,5,0.3,2,0.0026006250409409404,,325,,,True
test_014_n9_m9_d50_mult1.txt,9,9,1,0.3,2,0.002376166987232864,,36,,,True
test_014_n9_m9_d50_mult1.txt,9,9,2,0.3,2,0.002629874972626567,,72,,,True
test_014_n9_m9_d50_mult1.txt,9,9,3,0.3,2,0.0025932079879567027,,108,,,True
test_014_n9_m9_d50_mult1.txt,9,9,4,0.3,2,0.0026617920957505703,,144,,,True
test_014_n9_m9_d50_mult1.txt,9,9,5,0.3,2,0.002410834073089063,,180,,,True
test_015_n4_m9_d20_mult1.txt,4,9,1,0.3,2,0.002512000035494566,,2,,,True
